Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
ISO-Oph 33,,J16262226-2424070,246.59291666666667,-24.401944444444442,125.0,?,M6.5,,,,,,16.18,14.73,13.75,,,,,,,,,,1999.0,,
MHO Tau 8 B,x,J04330197+2421000,68.25833333333334,24.35,142.0,3,M6.5,17.95,,16.3,,,10.86,10.14,9.73,,,,,,,73.0,6.2,53.0,,,
ISO-Oph 35,,J16262295-2428461,246.59583333333333,-24.479444444444443,125.0,?,M6.5,,,,,,14.93,12.8,11.53,,,,,2900,,,,,,UNCON,
USD155556,,,238.98333333333332,-20.755277777777778,145.0,,M6.5,,,,,,,,,,,,,3400,,,,,,,
USD155601,,,239.00416666666666,-23.635555555555555,145.0,,M6.5,,,,,,,,,,,,,2800,,,,,,,
CFHTWIR-Oph 37,,J16264083-2430509,246.67,-24.514166666666668,125.0,?,M6.5,,,,,,17.32,14.77,13.18,,,,,3020,,,,,,UNCON,
2MASS J16270597-2428363,,J16270597-2428363,246.775,-24.476666666666667,125.0,?,M6.5,,,,,,16.79,14.58,13.15,,,,,,,,,,1999.0,,
S Ori 27,,J05381741-0240242,84.5725,-2.6733333333333333,360.0,65,M6.5,21.02,,19.21,,17.25,14.83,14.31,14.09,,13.79,13.42,,,,52.0,,,,,
CFHTWIR-Oph 106,,,247.12458333333333,-24.901666666666664,125.0,?,M6.5,,,,,,15.36,14.51,13.85,,,,,,,,,,2012.0,,
PPl 15 A,x,,57.01958333333334,23.65833333333333,136.2,1.2,M7,22.46,,,,17.91,15.28,14.7,14.26,,,,,,,73.0,,,,,
2MASS J04152409+2910434,,J04152409+2910434,63.85041666666667,29.178611111111113,140.0,,M7,,,,,,13.68,12.88,12.36,,,,,,,,,,,,
2MASS J17051832-4909412,,J17051832-4909412,256.32625,-49.16138888888889,,,M7,,,,,,15.05,14.36,13.92,,,,,,,,,,2012.0,UNCON,
CFHTWIR-Oph 57,,,246.76666666666668,-24.04638888888889,125.0,?,M7,,,,,,15.06,13.92,13.18,,,,,,,,,,2012.0,,
G 160-54 C,x,J04134585-0509049 C,63.44125,-5.1513888888888895,21.0,9,M7,,,,,,,,,,,,,,,85.0,70.0,,,UNCON,
HD 23514 B,x,J03463839+2255112,56.66,22.919722222222223,136.2,1.2,M7,,,,,,,,14.92,,,,,2600,,63.0,360.0,,2012.0,,
2MASS J07284123-0427191,,J07284123-0427191,112.17166666666667,-4.455277777777778,,,M7,,,,,,15.56,14.85,14.33,,,,,,,,,,2012.0,UNCON,
CFHT-Tau 11,,J04350850+2311398,68.78541666666666,23.194444444444446,130.0,12,M7,18.4,,17.5,,14.88,12.53,11.94,11.59,,,,,3020,,71.0,,,,,
USD161005,,,242.5225,-19.326666666666668,145.0,,M7,,,,,,,,,,,,,2600,,,,,,,
CFHT-Pl-15,,J03551257+2317378,58.8025,23.29388888888889,136.2,1.2,M7,,,21.09,,18.62,16.01,15.19,,14.77,,,,,,54.0,,,,UNCON,
KPNO-Tau 2,,J04185115+2814332,64.71333333333334,28.2425,140.0,,M7,21.38,,,,,13.93,13.24,12.75,,,,,,,,,,,,
CFHT-Tau 7 B,x,J04321786+2422149,68.07458333333334,24.370833333333334,142.0,3,M7,,,,,,,,,,,,,,,63.0,32.0,710.0,,,
ISO-Oph 164,,J16273863-2438391,246.91083333333333,-24.644166666666667,125.0,?,M7,,,,,17.4,13.27,11.93,11.08,,,,,,,,,,1999.0,,
GG Tau Bb,x,J04323034+1731406,68.12625,17.525277777777777,,,M7,17.0,,,,,,,,,,,,,,42.0,210.0,,1999.0,,
GJ 3629 B,x,J10512059+3607255,162.83583333333334,36.12388888888889,22.0,3,M7,,,,,,12.32,11.77,11.44,11.39,,,,,,46.0,4.4,17.0,2012.0,,
IPMBD 25 A,x,J03462608+2405096,56.60875,24.08611111111111,136.2,1.2,M7,,,,,17.82,15.19,14.61,14.16,,,,,,,66.0,,,,,
CFHT-Tau 13,,J04312669+2703188,67.86125,27.05527777777778,160.0,12,M7,,,,,17.9,14.83,13.97,13.45,,,,,2970,,54.0,,,,,
2MASS J15043465-5500045,,J15043465-5500045,226.14458333333334,-55.00138888888889,61.94,2.68,M7,,,,,,14.65,13.98,13.52,,,,,,,,,,2012.0,UNCON,
2MASS J16391688-3444528,,J16391688-3444528,249.82041666666666,-34.74805555555556,37.9,1.16,M7,,,,,,13.67,13.01,12.58,,,,,,,,,,2012.0,UNCON,
2MASS J16445570-2618333,,J16445570-2618333,251.23208333333332,-26.309166666666666,,,M7,,,,,,13.5,12.77,12.35,,,,,,,,,,2012.0,UNCON,
2MASS J12561816-7641340,,J12561816-7641340,194.07583333333332,-76.69277777777778,85.66,11.47,M7,,,,,,15.48,14.54,14.09,,,,,,,,,,2012.0,UNCON,
FU Tau A,x,J04233539+2503026,65.8975,25.050833333333333,140.0,,M7,,17.0,15.6,14.8,13.58,10.78,9.95,9.32,9.32,,,,2838,,52.0,,,,,
2MASS J16505873-2340002,,J16505873-2340002,252.74458333333334,-23.666666666666668,,,M7,,,19.96,,18.13,15,14.34,13.8,,,,,,,,,,2012.0,UNCON,
2MASS J07522390+1612157,,J07522390+1612157,118.09958333333333,16.204444444444444,18.39,0.34,M7,,16.13,,13.76,,10.88,10.2,9.85,,9.61,9.45,9.26,2731,2.01,68.0,,,,,
2MASS J06482289-2916280,,J06482289-2916280,102.09541666666667,-29.274444444444445,49.59,2.93,M7,,,,,,14.32,13.69,13.23,,,,,,,,,,2012.0,UNCON,
2MASS J13054198-5928351,,J13054198-5928351,196.425,-59.47638888888889,,,M7,,,,,19.54,15.38,14.54,14.09,,,,,,,,,,2012.0,UNCON,
CFHTWIR-Oph 101,,,246.94708333333332,-24.779444444444444,125.0,?,M7,,,,,,19.26,16.48,14.78,,,,,2880,,,,,2012.0,,
2MASS J06465202-3244011,,J06465202-3244011,101.71666666666667,-32.73361111111111,72.79,2.91,M7,,,20.06,,17.89,15.03,14.35,13.85,,,,,,,,,,2012.0,UNCON,
2MASS J16533670-3855165,,J16533670-3855165,253.40291666666667,-38.921388888888885,44.81,3.28,M7,,,,,,13.98,13.28,12.84,,,,,,,,,,2012.0,UNCON,
2MASS J11192624-4815167,,J11192624-4815167,169.85916666666665,-48.25472222222222,71.9,5.31,M7,,,,,18.55,15.06,14.4,13.93,,,,,,,,,,2012.0,UNCON,
2MASS J16532340-6424077,,J16532340-6424077,253.3475,-64.40222222222222,,,M7,,,,,18.2,15.35,14.61,14.11,,,,,,,,,,2012.0,UNCON,
2MASS J15515922-4051571,,J15515922-4051571,237.99666666666667,-40.865833333333335,,,M7,,,,,18.38,15.45,14.79,14.36,,,,,,,,,,2012.0,UNCON,
2MASS J02501167-0151295,,J02501167-0151295,42.54875,-1.8583333333333334,,,M7,,,,,,12.89,,,,,,,2800,1.91,23.0,,,,,
2MASS J210501.30-053350.5,,J210501.30-053350.5,316.2554166666667,-5.564166666666667,,,M7,,,,,,16.32,15.65,15.28,,,,,,,,,,,,
2MASS J14334194-5148037,,J14334194-5148037,218.42458333333335,-51.801111111111105,50.31,0.77,M7,,,19.7,,17.44,14.21,13.57,13.11,,,,,,,,,,2012.0,UNCON,
2MASS J08143545-4020492,,J08143545-4020492,123.64791666666666,-40.346944444444446,51.43,2.4,M7,,,,,,14.36,13.65,13.19,,,,,,,,,,2012.0,UNCON,
2MASS J08191824-3944563,,J08191824-3944563,124.82583333333334,-39.74888888888889,,,M7,,,21.07,,19.23,15.78,15.17,14.59,,,,,,,,,,2012.0,UNCON,
USco 128,,,239.7975,-23.633333333333333,145.0,,M7,,,,,,,,,,,,,2500,,,,,,,
2MASS J12405746-6549554,,J12405746-6549554,190.23958333333334,-65.83194444444445,53.51,7.78,M7,,,,,17.35,14.48,13.78,13.33,,,,,,,,,,2012.0,UNCON,
2MASS J08280671-3549063,,J08280671-3549063,127.02791666666667,-35.818333333333335,77.74,2.67,M7,,,,,18.14,15.16,14.48,14.03,,,,,,,,,,2012.0,UNCON,
2MASS J08323553-3310372,,J08323553-3310372,128.14791666666667,-33.176944444444445,91.32,1.09,M7,,,,,18.54,15.49,14.77,14.26,,,,,,,,,,2012.0,UNCON,
2MASS J13142039+1320011,,J13142039+1320011,198.585,13.33361111111111,16.4,0.8,M7,15.9,,14.9,,11.4,9.75,9.18,8.8,8.79,,,,,,,,,,UNCON,
2MASS J12012860-6007478,,J12012860-6007478,180.36916666666667,-60.13,85.73,3.67,M7,,,,,,15.36,14.47,13.91,,,,,,,,,,2012.0,UNCON,
2MASS J12044302-5048162,,J12044302-5048162,181.17916666666667,-50.80444444444444,70.24,10.26,M7,,,,,,15.08,14.47,13.94,,,,,,,,,,2012.0,UNCON,
SONYC-NGC1333-29,,J03282839+3116273,52.11833333333333,31.274166666666666,300.0,20,M7,,,,17.64,,14.62,13.93,,13.62,,,,3150,,,,,2012.0,UNCON,
WISE J114553.61-250657.1,,,176.47333333333333,-25.115833333333335,117.5,10.5,M7,,,,,,,,,,,,,,,,,,2015.0,UNCON,
2MASS J230233.19-093518.8,,J230233.19-093518.8,345.6383333333333,-9.588611111111112,,,M7,,,,,,17.41,16.75,16.36,,,,,,,,,,,,
2MASS J12060685-5326580,,J12060685-5326580,181.52875,-53.44944444444444,63.04,2.55,M7,,,,,17.55,14.74,13.96,13.39,,,,,,,,,,2012.0,UNCON,
2MASS J14031649-7400220,,J14031649-7400220,210.81875,-74.00611111111111,66.6,2.61,M7,,,,,17.79,14.84,14.12,13.65,,,,,,,,,,2012.0,UNCON,
2MASS J13583767-5450192,,J13583767-5450192,209.65708333333333,-54.83861111111111,,,M7,,,,,17.92,15.07,14.34,13.9,,,,,,,,,,2012.0,UNCON,
2MASS J09213999-4607414,,J09213999-4607414,140.41666666666666,-46.128055555555555,,,M7,,,,,19.08,14.94,14.34,13.84,,,,,,,,,,2012.0,UNCON,
2MASS J13472893-4754262,,J13472893-4754262,206.87041666666667,-47.907222222222224,,,M7,,,,,,15.48,14.84,14.29,,,,,,,,,,2012.0,UNCON,
2MASS J09313619-6659363,,J09313619-6659363,142.90083333333334,-66.99333333333334,87.57,10.43,M7,,,,,18.31,15.5,14.74,14.2,,,,,,,,,,2012.0,UNCON,
2MASS J10241592-4630583,,J10241592-4630583,156.06625,-46.51611111111111,95.06,3.14,M7,,,,,,15.58,14.94,14.47,,,,,,,,,,2012.0,UNCON,
2MASS J09432678-6234376,,J09432678-6234376,145.86166666666668,-62.577222222222225,85.92,5.36,M7,,,,,18.2,15.41,14.71,14.15,,,,,,,,,,2012.0,UNCON,
2MASS J10102925-5245046,,J10102925-5245046,152.62208333333334,-52.75138888888889,88.3,8.39,M7,,,,,,15.48,14.75,14.27,,,,,,,,,,2012.0,UNCON,
2MASS J10142075-4018329,,J10142075-4018329,153.58666666666667,-40.30916666666666,64.27,9.39,M7,,,,,17.75,14.88,14.1,13.68,,,,,,,,,,2012.0,UNCON,
2MASS J08383219-3211406,,J08383219-3211406,129.63416666666666,-32.19472222222222,,,M7,,,19.73,,17.5,14.32,13.62,13.18,,,,,,,,,,2012.0,UNCON,
2MASS J02535980+3206373,,J02535980+3206373,43.49916666666667,32.11027777777778,56.5,7.98,M7,,18.94,,16.43,,13.62,12.93,12.55,,12.32,12.13,11.81,2628,1.9,65.0,,,,,
2MASS J08034806-1723073,,J08034806-1723073,120.95041666666667,-17.385277777777777,75.05,8.88,M7,,,,,17.98,15.16,14.5,13.94,,,,,,,,,,2012.0,UNCON,
ASR 15,,J03285694+3115503,52.23708333333333,31.26388888888889,300.0,20,M7,,,21.2,,,15.06,14.18,,13.46,,,,,,,,,2012.0,UNCON,
2MASS J17464746-0405522,,J17464746-0405522,266.6979166666667,-4.097777777777777,67.15,5.9,M7,,,,,18.83,14.87,14.19,13.78,,,,,,,,,,2012.0,UNCON,
2MASS J07431157-1257055,,J07431157-1257055,115.79833333333333,-12.951666666666666,1.22,13.05,M7,,,20.66,,18.66,15.83,14.99,14.52,,,,,,,,,,2012.0,UNCON,
2MASS J07445834-1611378,,J07445834-1611378,116.24291666666667,-16.19388888888889,74.27,4.69,M7,,,20.07,,17.9,15.15,14.42,13.81,,,,,,,,,,2012.0,UNCON,
2MASS J20391314-1126531,,J20391314-1126531,309.8045833333333,-11.448055555555555,,,M7,,,,,,13.79,,,,,,,2600,1.53,74.0,,,,,
2MASS J07482998-3918231,,J07482998-3918231,117.125,-39.30638888888888,,,M7,,,20.34,,18.33,15.55,14.91,14.25,,,,,,,,,,2012.0,UNCON,
2MASS J18003331-0745185,,J18003331-0745185,270.13875,-7.755277777777778,,,M7,,,,,19.43,15.46,14.6,14.15,,,,,,,,,,2012.0,UNCON,
2MASS J18052143-0733179,,J18052143-0733179,271.33916666666664,-7.555,,,M7,,,,,,15.22,14.51,14.02,,,,,,,,,,2012.0,UNCON,
2MASS J02155892-0929121 C,x,J02155892-0929121 C,33.995416666666664,-9.486666666666666,26.0,10,M7,,,,,,,,11.7,12.04,,,,,,42.0,90.0,,,,
2MASS J04380083+2558572,,J04380083+2558572,69.50333333333333,25.982499999999998,130.0,10,M7,,,20.21,,14.71,11.54,10.62,10.1,,,,,2840,,61.0,,,,,
MBO 68,,J03293053+3127280,52.37708333333333,31.45777777777778,300.0,20,M7,,,,17.36,,13.81,13.01,,12.6,,,,3200,,,,,2012.0,UNCON,
MBO 69,,J03292445+3128149,52.35208333333333,31.47083333333333,300.0,20,M7,,,,,,14.04,13.17,,12.69,,,,3200,,,,,2012.0,UNCON,
ASR 45,,J03285213+3115471,52.217083333333335,31.263055555555557,300.0,20,M7,,,,,,13.16,12.47,,12.03,,,,2850,,,,,2012.0,UNCON,
2MASS J14454228-5317233,,J14454228-5317233,221.42625,-53.28972222222222,66.11,3.34,M7,,,,,18.76,14.86,14.21,13.71,,,,,,,,,,2012.0,UNCON,
2MASS J18422444-1358138,,J18422444-1358138,280.6016666666667,-13.970555555555556,,,M7,,,,,18.35,14.42,13.77,13.34,,,,,,,,,,2012.0,UNCON,
MBO 66,,J03291443+3122362,52.31,31.37666666666667,300.0,20,M7,,,,18.1,,14.61,13.53,,13.04,,,,2900,,,,,2012.0,UNCON,
2MASS J18473965-1856577,,J18473965-1856577,281.91541666666666,-18.949444444444445,,,M7,,,,,,15.3,14.61,14.18,,,,,,,,,,2012.0,UNCON,
WISE J013636.31+373840.6,,,24.15125,37.64472222222222,134.8,22.6,M7,,,,,,18.23,17.46,,17.14,16.8,14.76,>12.72,,,,,,2015.0,,
SONYC-NGC1333-34,,J03290693+3129571,52.27875,31.499166666666667,300.0,20,M7,,,,20.84,,16.54,15.55,,14.77,,,,2950,,,,,2012.0,UNCON,
2MASS J07535987-5421555,,J07535987-5421555,118.49958333333333,-54.36555555555556,61.55,2.74,M7,,,19.91,,17.75,14.72,14,13.55,,,,,,,,,,2012.0,UNCON,
ASR 8,,J03290406+3117075,52.26708333333333,31.285555555555558,300.0,20,M7,,,17.6,,,13.31,12.78,,12.31,,,,,,,,,2012.0,UNCON,
MBO 89,,J03290320+3125451,52.263333333333335,31.429166666666667,300.0,20,M7,,,,,,15.8,14.62,,13.83,,,,3200,,,,,2012.0,UNCON,
MBO 80,,J03285842+3122567,52.24333333333333,31.3825,300.0,20,M7,,,,19.23,,15.4,14.24,,13.69,,,,2800,,,,,2012.0,UNCON,
ASR 17,,J03285715+3115345,52.23833333333334,31.259722222222223,300.0,20,M7,,,,,,15.41,14,,13.19,,,,,,,,,2012.0,UNCON,
MBO 91,,J03285694+3120487,52.23708333333333,31.346944444444443,300.0,20,M7,,,,19.42,,15.36,14.48,,13.82,,,,2875,,,,,2012.0,UNCON,
2MASS J11554035-6945326,,J11554035-6945326,178.91833333333332,-69.75916666666667,,,M7,,,,,,15.44,14.68,14.19,,,,,,,,,,2012.0,UNCON,
2MASS J04381486+2611399,,J04381486+2611399,69.56208333333333,26.194444444444446,140.0,,M7,,,20.33,,17.84,15.18,14.13,12.98,,,,,2840,,61.0,,,,,
2MASS J12191303-5021426,,J12191303-5021426,184.80416666666667,-50.36194444444445,39.32,1.01,M7,,,18.65,,16.76,13.72,13.07,12.59,,,,,,,,,,2012.0,UNCON,
CFHT-Tau 4,,J04394748+2601407,69.94791666666667,26.028055555555554,130.0,7,M7,21.56,,19.1,,15.78,12.17,11.01,10.33,,,,,2880,,67.0,,,,,
CFHT-Tau 6,,J04390396+2544264,69.76666666666667,25.740555555555556,140.0,16,M7,,,18.39,,15.64,12.65,11.84,11.37,,,,,2820,,58.0,,,,,
S Ori J053736.4-024157,,J05373648-0241567,84.40208333333334,-2.6991666666666667,360.0,65,M7,22.04,,20.12,,18.14,15.49,15,14.67,,14.37,14.01,,,,37.0,,,,UNCON,
2MASS J16134312-4201248,,J16134312-4201248,243.42958333333334,-42.02361111111111,,,M7,,,20.1,,18.27,15.17,14.42,13.92,,,,,,,,,,2012.0,UNCON,
2MASS J16244484-3816025,,J16244484-3816025,246.18666666666667,-38.2675,,,M7,,,20.91,,19.02,15.23,14.33,13.93,,,,,,,,,,2012.0,UNCON,
L Ori150,,J05350749+0949328,83.78125,9.825833333333334,400.0,,M7,,,21.29,,19,16.66,16.13,15.56,,,,,2900,2.44,50.0,,,,,
2MASS J16011296-4210018,,J16011296-4210018,240.30416666666667,-42.16722222222222,,,M7,,,20.7,,18.74,15.79,15.12,14.66,,,,,,,,,,2012.0,UNCON,
UScoCTIO 108 A,x,,241.47458333333333,-18.311944444444446,145.0,2,M7,,,,,15.65,15.07,14.42,,,,,,2600,,60.0,,,,,
S Ori 31,,J05382088-0246132,84.58708333333334,-2.770277777777778,360.0,65,M7,,,,,17.41,15.19,14.57,14.16,,13.97,13.61,,,,46.0,,,,UNCON,
USD161939,x,,244.91583333333332,-21.759722222222223,145.0,,M7,,,,,,,,,,,,,3000,,,,,,,
2MASS J16120601-3904091,,J16120601-3904091,243.025,-39.06916666666667,,,M7,,,20.54,,18.68,15.75,14.84,14.4,,,,,,,,,,2012.0,UNCON,
2MASS J11085176-7632502,,J11085176-7632502,167.21583333333334,-76.54722222222222,60.0,15,M7,,,,,18.23,14.29,13.53,12.96,,,,,,,,,,2004.0,UNCON,
2MASS J16113100-3755581,,J16113100-3755581,242.87916666666666,-37.93277777777777,,,M7,,,21.46,,19.62,15.9,15.16,14.67,,,,,,,,,,2012.0,UNCON,
2MASS J16105290-3935489,,J16105290-3935489,242.72041666666667,-39.596944444444446,96.57,7.64,M7,,,21.55,,19.74,15.65,14.9,14.48,,,,,,,,,,2012.0,UNCON,
2MASS J10565008-6122042,,J10565008-6122042,164.20875,-61.367777777777775,,,M7,,,,,,14.91,13.94,13.48,,,,,,,,,,2012.0,UNCON,
S Ori 38,,J05391525-0221507,84.81375,-2.3641666666666667,360.0,65,M7,22.04,,19.98,18.66,18.12,15.54,15.03,14.62,14.56,14.01,13.36,,,,37.0,,,,UNCON,
2MASS J05264316-1824315,,J05264316-1824315,81.68,-18.40888888888889,,,M7,,,,,,12.36,,,,,,,2800,2.52,83.0,,,,UNCON,
2MASS J15572739-4350214,,J15572739-4350214,239.36416666666668,-43.83916666666667,48.15,1.97,M7,,,19.95,,17.58,14.22,13.62,13.13,,,,,,,,,,2012.0,UNCON,
CRBR 2322.3-1143,,J16262381-2418290,246.59916666666666,-24.308055555555555,125.0,?,M7,,,,,,16.28,14.62,13.57,,,,,,,,,,2000.0,,
L Ori140,,J05341927+0948275,83.58041666666666,9.807777777777778,400.0,,M7,,,20.34,,18.21,15.98,15.22,14.75,,,,,2900,3.85,59.0,,,,,
S Ori J053847.2-025756,,J05384714-0257557,84.69625,-2.965555555555556,360.0,65,M7,21.15,,,,17.22,14.52,13.94,13.46,,13.13,12.55,10.83,,,69.0,,,,,
2MASS J11021682-4940422,,J11021682-4940422,165.57,-49.67833333333333,,,M7,,,20.27,,18.14,15.25,14.52,14.03,,,,,,,,,,2012.0,UNCON,
2MASS J16265335-2440023,,J16265335-2440023,246.7225,-24.66722222222222,125.0,?,M7,,,,,,15.47,13.5,12.27,,,,,3000,,,,,2011.0,UNCON,
2MASS J15422834-4255000,,J15422834-4255000,235.61791666666667,-42.916666666666664,57.5,3.63,M7,,,20.18,,18.11,14.63,13.89,13.38,,,,,,,,,,2012.0,UNCON,
2MASS J16193117-4126215,,J16193117-4126215,244.88,-41.43944444444444,87.18,5.64,M7,,,,,,15.45,14.65,14.16,,,,,,,,,,2012.0,UNCON,
WDS J11013-7733 A,x,J11011926-7732383,165.33041666666668,-77.54388888888889,168.0,10,M7,,,19.4,,,13.1,12.22,11.63,,,,,,,52.0,,,,,
2MASS J06164933-1411434,,J06164933-1411434,94.20541666666666,-14.195277777777777,74.39,4.59,M7,,,,,18.29,15.15,14.48,14.04,,,,,,,,,,2012.0,UNCON,
ISO-Oph 23,,J16261882-2426105,246.57833333333335,-24.43638888888889,125.0,?,M7,,,,,,14.84,13.2,12.14,,,,,,,,,,1999.0,,
2MASS J04442713+2512164,,J04442713+2512164,71.11291666666666,25.204444444444444,140.0,,M7,,,16.5,,,12.2,11.36,10.76,,,,,2840,,57.0,,,,,
2MASS J16180891-3214361,,J16180891-3214361,244.53708333333333,-32.24333333333333,,,M7,,,19.96,,17.81,14.92,14.22,13.68,,,,,,,,,,2012.0,UNCON,
