Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?
2MASS J17275293-6227029,,J17275293-6227029,261.97041666666667,-62.450833333333335,55.0,5.45,M7.5,,,,,17.88,14.64,13.91,13.35,,,,,,,,,,2012.0,UNCON,
2MASS J16395699-3533355,,J16395699-3533355,249.9875,-35.559999999999995,70.84,14.06,M7.5,,,,,19.53,15.23,14.6,14.07,,,,,,,,,,2012.0,UNCON,
KPNO-Tau 5,,J04294568+2630468,67.44041666666666,26.513055555555557,139.0,15,M7.5,19.69,,19.1,,15.08,12.64,11.92,11.54,,,,,2890,,50.0,,,,,
LSR J2036+5059,,J20362186+5059503,309.09125,50.99722222222222,46.3,2.7,M7.5,,,,,,13.61,13.16,12.94,,,,,,,,,,2007.0,,
2MASS J08112196-1201268,,J08112196-1201268,122.84166666666667,-12.024166666666668,77.52,16.23,M7.5,,,,,,15.45,14.7,14.06,,,,,,,,,,2012.0,UNCON,
2MASS J14324269-5534247,,J14324269-5534247,218.17791666666668,-55.57361111111111,47.92,3.5,M7.5,,,,,18.24,14.33,13.69,13.12,,,,,,,,,,2012.0,UNCON,
2MASS J08115730-4319238,,J08115730-4319238,122.98875,-43.32333333333334,52.07,10.55,M7.5,,,,,17.57,14.58,13.86,13.43,,,,,,,,,,2012.0,UNCON,
Sp 46,,J03284407+3120528,52.18375,31.348055555555554,300.0,20,M7.5,,,,,,14.25,13.21,,12.63,,,,2940,,,,,2012.0,UNCON,
2MASS J07595440-2117123,,J07595440-2117123,119.97666666666667,-21.28666666666667,43.75,9.06,M7.5,,,,,,14.21,13.54,13.03,,,,,,,,,,2012.0,UNCON,
2MASS J19265883-0844206,,J19265883-0844206,291.745,-8.739166666666666,71.76,12.94,M7.5,,,20.27,,18.14,15.2,14.35,13.94,,,,,,,,,,2012.0,UNCON,
2MASS J18462994-1143368,,J18462994-1143368,281.6245833333333,-11.726944444444445,80.95,15.91,M7.5,,,,,18.47,15.51,14.84,14.41,,,,,,,,,,2012.0,UNCON,
MBO 94,,J03291018+3127159,52.2925,31.454444444444444,300.0,20,M7.5,,,,18.99,,15.55,14.69,,14.13,,,,3050,,,,,2012.0,UNCON,
2MASS J19130363-1307559,,J19130363-1307559,288.265,-13.132222222222223,76.12,12.6,M7.5,,,,,18.21,15.29,14.49,13.89,,,,,,,,,,2012.0,UNCON,
2MASS J17315078-1306332,,J17315078-1306332,262.96166666666664,-13.109166666666667,84.29,18.13,M7.5,,,20.66,,18.66,15.65,14.92,14.48,,,,,,,,,,2012.0,UNCON,
2MASS J07313276-2841575,,J07313276-2841575,112.88666666666667,-28.699444444444445,74.55,12.3,M7.5,,,,,18.12,15.25,14.59,14.09,,,,,,,,,,2012.0,UNCON,
2MASS J17140018-4844178,,J17140018-4844178,258.50083333333333,-48.73833333333334,61.24,4.93,M7.5,,,,,,14.8,14.12,13.59,,,,,,,,,,2012.0,UNCON,
LSPM 1735+2634 A,x,J17351296+2634475,263.8041666666667,26.58,14.99,0.31,M7.5,,,18.1,,14.2,11.76,11.1,10.16,10.69,,,,,,86.0,,,2009.0,UNCON,
SONYC-Lup3-29,,,242.50541666666666,-39.112500000000004,200.0,,M7.5,,,,,15.38,12.32,,,10.52,,,,2800,,58.0,,,2015.0,,
2MASS J07390794-4926533,,J07390794-4926533,114.78291666666667,-49.448055555555555,54.55,5.04,M7.5,,,20.15,,18.06,14.69,14.03,13.61,,,,,,,,,,2012.0,UNCON,
MBO 65,,J03293773+3122024,52.40708333333333,31.36722222222222,300.0,20,M7.5,,,,,,13.99,13.37,,12.96,,,,2870,,,,,2012.0,UNCON,
SONYC-NGC1333-38,,,52.39333333333333,31.256944444444443,300.0,20,M7.5,,,,21.09,,17.33,,,16.15,,,,2850,,,,,2012.0,UNCON,
2MASS J16445388-4021050,,J16445388-4021050,251.22458333333333,-40.35138888888889,67.8,13.51,M7.5,,,,,,15.13,14.16,13.71,,,,,,,,,,2012.0,UNCON,
V410 Xray-3 B,x,,63.75791666666667,28.313333333333333,140.0,,M7.5,,,,17.67,,,,,,,,,,,49.0,6.0,,,,
2MASS J16233986-2822415,,J16233986-2822415,245.91625,-28.378333333333334,88.56,17.29,M7.5,,,20.73,,18.67,15.7,14.94,14.49,,,,,,,,,,2012.0,UNCON,
2MASS J18300760-1842361,,J18300760-1842361,277.5316666666667,-18.71,,,M7.5,,,,,,10.43,9.38,,8.82,,,,,,,,,,,
2MASS J18403930-1459233,,J18403930-1459233,280.16375,-14.989722222222222,76.29,13.79,M7.5,,,,,18.27,15.34,14.65,14.12,,,,,,,,,,2012.0,UNCON,
ASR 80,,J03291776+3119481,52.32416666666666,31.33,300.0,20,M7.5,,,,19.09,,14.8,13.65,,12.99,,,,3000,,,,,2012.0,UNCON,
ASR 83,,J03291279+3120077,52.303333333333335,31.335555555555555,300.0,20,M7.5,,,,,,14.68,13.78,,13.29,,,,2880,,,,,2012.0,UNCON,
2MASS J16481339-3039086,,J16481339-3039086,252.05583333333334,-30.6525,43.49,8.98,M7.5,,,,,17.2,14.2,13.49,13.07,,,,,,,,,,2012.0,UNCON,
2MASS J07102532-0633215,,J07102532-0633215,107.60541666666667,-6.556111111111111,53.68,10.6,M7.5,,,20.07,,17.61,14.63,13.9,13.45,,,,,,,,,,2012.0,UNCON,
SONYC-NGC1333-41,,J03290462+3120289,52.26916666666666,31.341388888888886,300.0,20,M7.5,,,,,,17.65,15.46,,13.89,,,,3100,,,,,2012.0,UNCON,
2MASS J11530648-7454349,,J11530648-7454349,178.27708333333334,-74.90972222222223,73.63,13.62,M7.5,,,20.35,,18.23,15.27,14.63,14.04,,,,,,,,,,2012.0,UNCON,
2MASS J15594729+4403595 B,x,J15594729+4403595 B,239.94708333333332,44.06666666666666,27.0,2,M7.5,,,,16.8,,,,,,,,,,,43.0,150.0,,,,
2MASS J11301046-5759419,,J11301046-5759419,172.54375,-57.995,41.91,2.29,M7.5,,,,,,14.03,13.36,12.83,,,,,,,,,,2012.0,UNCON,
2MASS J08361270-2648443,,J08361270-2648443,129.05291666666668,-26.81222222222222,57.5,8.94,M7.5,,,20.06,,17.55,14.66,13.96,13.52,,,,,,,,,,2012.0,UNCON,
2MASS J06400355-1449104,,J06400355-1449104,100.015,-14.819444444444445,45.14,2.23,M7.5,,,19.51,,17.24,14.14,13.48,13.05,,,,,,,,,,2012.0,UNCON,
BKLT J162622-242354,,,246.5925,-24.398333333333333,125.0,?,M7.5,,,,,,15.75,13.59,12.25,,,,,,,,,,1999.0,,
S Ori 42,,J05392341-0240575,84.8475,-2.6827777777777775,360.0,65,M7.5,,,,20.03,19.05,16.73,15.92,15.55,,15.19,14.53,,,,26.0,,,,,
2MASS J10293728-4031259,,J10293728-4031259,157.40541666666667,-40.52388888888889,77.57,12.13,M7.5,,,,,18.29,15.31,14.53,14.06,,,,,,,,,,2012.0,UNCON,
CFHT-Tau 2,,J04361038+2259560,69.04333333333334,22.99888888888889,130.0,9,M7.5,22.52,,20.21,,16.81,13.75,12.76,12.17,,,,,2790,,42.0,,,,,
2MASS J12363238-6536355,,J12363238-6536355,189.135,-65.61,71.94,14.72,M7.5,,,20.08,,18.27,15.28,14.43,13.99,,,,,,,,,,2012.0,UNCON,
CFHT-Tau 5,,J04325026+2422115,68.20958333333333,24.37,130.0,2,M7.5,,,23.37,,18.79,13.96,12.22,11.28,,,,,2690,,46.0,,,,,
2MASS J13580761-5946451,,J13580761-5946451,209.53166666666667,-59.77916666666667,74.73,12.37,M7.5,,,20.24,,18.17,15.25,14.27,13.73,,,,,,,,,,2012.0,UNCON,
2MASS J12105463-5252444,,J12105463-5252444,182.7275,-52.87888888888889,74.28,12.77,M7.5,,,,,18.17,15.25,14.59,14.17,,,,,,,,,,2012.0,UNCON,
2MASS J06495677-2104472,,J06495677-2104472,102.48666666666666,-21.079722222222223,70.79,14.74,M7.5,,,,,18.26,15.26,14.47,13.93,,,,,,,,,,2012.0,UNCON,
UScoCTIO 109 B,x,,240.32958333333335,-23.110833333333336,145.0,2,M7.5,,,,,,,,,,,,,,,42.0,4.9,46.0,,,
2MASS J06512977-1446150,,J06512977-1446150,102.87416666666667,-14.770833333333334,37.1,3.6,M7.5,,,,,,13.81,13.08,12.66,,,,,,,,,,2012.0,UNCON,
DENIS-P J160603.9-205644,,J16060391-2056443,241.51625,-20.945555555555554,,,M7.5,,19.43,,17.18,,13.53,12.91,,12.48,,,,,,40.0,,,,UNCON,
2MASS J11162997-6403082,,J11162997-6403082,169.125,-64.05222222222221,85.87,17.31,M7.5,,,20.51,,18.63,15.65,14.95,14.48,,,,,,,,,,2012.0,UNCON,
2MASS J13201384-4842117,,J13201384-4842117,200.0575,-48.70333333333333,71.37,8.93,M7.5,,,,,18.37,15.24,14.46,14,,,,,,,,,,2012.0,UNCON,
2MASS J11070369-7724307,,J11070369-7724307,166.76541666666665,-77.40861111111111,162.5,,M7.5,,,,,,,,,,,,,2600,,,,,,,
2MASS J08584640-4345473,,J08584640-4345473,134.69333333333333,-43.76305555555555,70.97,11.97,M7.5,,,,,19.49,15.26,14.37,13.84,,,,,,,,,,2012.0,UNCON,
2MASS J08193434-4706133,,J08193434-4706133,124.89291666666666,-47.103611111111114,46.41,8.5,M7.5,,,19.57,,17.22,14.27,13.59,13.16,,,,,,,,,,2012.0,UNCON,
2MASS J06450029-2333259,,J06450029-2333259,101.25125,-23.557222222222222,85.56,14.27,M7.5,,,,,18.46,15.55,14.97,14.38,,,,,,,,,,2012.0,UNCON,
2MASS J08564175-2408017,,J08564175-2408017,134.17416666666668,-24.133888888888887,65.29,12.96,M7.5,,,,,18.03,15.05,14.44,13.86,,,,,,,,,,2012.0,UNCON,
CFHTWIR-Oph 47,,,246.71791666666667,-24.029722222222222,125.0,?,M7.5,,,,,,15.94,14.75,13.97,,,,,,,,,,2012.0,,
L Ori154,,J05341980+0954206,83.5825,9.905833333333334,400.0,,M8,,,21.79,,19.31,16.8,16.14,15.51,,,,,2700,2.81,33.0,,,,,
SONYC-NGC1333-43,,,52.34125,31.308055555555555,300.0,20,M8,,,,,,18.73,,,17.13,,,,2900,,,,,2012.0,UNCON,
2MASS J00413538-5621127 A,x,J00413538-5621127,10.3975,-56.353611111111114,15.0,1,M8,,,,,14.69,12.37,11.75,11.32,10.86,,,,2600,,30.0,,,1995.0,,
MBO 140,,J03293387+3120362,52.39125,31.343333333333334,300.0,20,M8,,,,20.38,,16.56,15.68,,15.48,,,,2550,,,,,2012.0,UNCON,
2MASS J09283348-5739459,,J09283348-5739459,142.13958333333332,-57.66277777777778,60.4,13.95,M8,,,20.04,,17.8,14.99,14.22,13.76,,,,,,,,,,2012.0,UNCON,
USco J155419.99-213543.1,,,238.58333333333334,-21.595277777777778,145.0,15,M8,,,,,,14.93,14.28,13.71,,,,,2710,,25.0,,,,,
SONYC-NGC1333-18,,,52.39875,31.352500000000003,300.0,20,M8,,,,22.63,,18.5,,,16.94,,,,2500,,15.0,,,2012.0,UNCON,
SONYC-NGC1333-16,,J03292815+3116285,52.3675,31.27472222222222,300.0,20,M8,,,,16.93,,13.05,12.5,,12.09,,,,2740,,,,,2012.0,UNCON,
PYC J11519+0731 B,x,,177.98666666666668,7.523888888888889,37.0,6,M8,,,,,,14.22,13.5,13.13,,,,,,,52.0,18.0,,,UNCON,
CFHT-Pl-17,,J03430016+2443525,55.75083333333333,24.731388888888887,136.2,1.2,M8,,,,,18.8,16,15.36,,15.03,,,,,,54.0,,,,UNCON,
2MASS J11104006-7630547,,J11104006-7630547,167.66708333333332,-76.51527777777778,60.0,15,M8,,,20.02,,18.22,14.57,13.85,13.34,,,,,2710,,32.0,,,2005.0,UNCON,
2MASS J07292810-4931489,,J07292810-4931489,112.36708333333333,-49.530277777777776,72.13,17.1,M8,,,,,18.45,15.39,14.81,14.26,,,,,,,,,,2012.0,UNCON,
PPl 15 B,x,,57.01958333333334,23.65833333333333,136.2,1.2,M8,,,,,,,,,,,,,,,63.0,0.03,0.0159,,,
2MASS J15511814-4628250,,J15511814-4628250,237.82541666666665,-46.47361111111111,70.51,18.04,M8,,,,,19.42,15.42,14.65,14.16,,,,,,,,,,2012.0,UNCON,
2MASS J09572731-4612287,,J09572731-4612287,149.36375,-46.20805555555556,66.87,16.77,M8,,,,,18.38,15.28,14.58,14.15,,,,,,,,,,2012.0,UNCON,
CL Melotte 22 1348 B,x,J03471806+2423267,56.82541666666667,24.390833333333333,136.2,1.2,M8,,,,,,16.04,15.3,14.88,,,,,,,62.0,150.0,,2011.0,,
2MASS J00192626+4614078,,J00192626+4614078,4.859583333333333,46.23555555555556,19.5,1.6,M8,20.0,,,,,12.6,11.94,11.5,11.5,,,,2600,,65.0,,,2003.0,,
WDS J11013-7733 B,x,J11011926-7732383,165.33083333333335,-77.5436111111111,168.0,10,M8,,,,,,,,,,,,,,,26.0,241.9,19500.0,,,
LP 349-25 A,x,J00275592+2219328,6.982916666666666,22.325833333333332,14.37,0.19,M8,17.56,,16,,12.4,11.15,10.61,,10.15,,,,2780,1.27,68.0,,,1995.0,,
LP 349-25 B,x,J00275592+2219328,6.982916666666666,22.325833333333332,14.37,0.19,M8,,,,,,11.51,10.93,,10.46,,,,2640,1.21,59.0,1.86,7.31,2010.0,,
2MASS J12585142-7228055,,J12585142-7228055,194.71416666666667,-72.46833333333333,67.6,15,M8,,,,,,15.2,14.54,14.1,,,,,,,,,,2012.0,UNCON,
LP 771-21,,,42.170833333333334,-16.85611111111111,16.23,1.42,M8,19.97,18.84,17.7,15.92,15.27,12.55,11.87,11.42,11.45,11.17,10.98,10.8,2365,1.08,78.0,,,,,
2MASS J11114533-7636505,,J11114533-7636505,167.93875,-76.61416666666666,162.5,,M8,,,,,,,,,,,,,2800,,,,,,,
2MASS J12262180-7638505,,J12262180-7638505,186.59083333333334,-76.64750000000001,51.45,5.48,M8,,,,,18.08,14.62,13.94,13.52,,,,,,,,,,2012.0,UNCON,
2MASS J09420802-3758418,,J09420802-3758418,145.53333333333333,-37.97833333333333,47.66,12.32,M8,,,20.42,,17.69,14.58,13.84,13.33,,,,,,,,,,2012.0,UNCON,
BD+13 1727 B,x,J07394386+1305070,114.93291666666667,13.085277777777778,36.0,3,M8,,,,,,13.91,13.29,,12.77,,,,,,,380.0,,2002.0,,
2MASS J01231125-6921379,,J01231125-6921379,20.797083333333333,-69.36055555555555,19.0,2,M8,,,,,,12.32,11.71,11.32,11.32,,,,2600,,65.0,,,2007.0,,
SONYC-NGC1333-45,,J03291303+3117383,52.30416666666667,31.29388888888889,300.0,20,M8,,,,,,15.23,14.71,,14.16,,,,2900,,,,,2012.0,UNCON,
2MASS J23231347-0244360,,J23231347-0244360,350.80625,-2.743333333333333,,,M8,,,,,,13.58,,,,,,,2600,1.85,17.0,,,,,
USco J160648.18-223040.1,,,241.70083333333332,-22.511111111111113,145.0,15,M8,,,,,,14.93,14.35,13.84,,,,,2710,,25.0,,,,,
SDSS J214956.55+060334 A,x,,327.48583333333335,6.059444444444444,29.0,3,M8,,,,,,,12.63,,,,,,,,,,,,,
2MASS J213922.24+112432.3,,J213922.24+112432.3,324.8425,11.408888888888889,,,M8,,,,,,17.54,16.81,16.39,,,,,,,,,,,,
2MASS J08220621-3204138,,J08220621-3204138,125.52583333333334,-32.07055555555556,79.75,17.65,M8,,,,,,15.55,14.83,14.25,,,,,,,,,,2012.0,UNCON,
2MASS J14263345-5229166,,J14263345-5229166,216.63958333333332,-52.488055555555555,41.9,7.3,M8,,,,,,14.27,13.55,13.15,,,,,,,,,,2012.0,UNCON,
2MASS J14262469-5541035,,J14262469-5541035,216.60291666666666,-55.68444444444444,59.89,14.72,M8,,,20.32,,18.1,15.02,14.25,13.85,,,,,,,,,,2012.0,UNCON,
2MASSW J1311391+803222 B,x,J13113921+8032219,197.91333333333333,80.53944444444444,13.7,,M8,,,,,,,,,,,,,,,,,,2003.0,UNCON,
DENIS-P J0805110-315811,,,121.29583333333333,-31.96972222222222,,,M8,,,,,,,,,,,,,,,,,,,,
LSR J1425+7102,,J14250510+7102097,216.27125,71.03611111111111,82.03,7.2,M8,,,,,,14.78,14.41,14.33,,,,,,,,,,2007.0,,
ASR 111,,J03284782+3116552,52.19916666666666,31.281944444444445,300.0,20,M8,,,,,,12.94,11.76,,10.91,,,,2710,,,,,2012.0,UNCON,
2MASS J08274661-1619256,,J08274661-1619256,126.94416666666666,-16.323888888888888,38.9,3.2,M8,,,,,,14.1,13.37,12.96,,,,,,,,,,2012.0,UNCON,
2MASS J08313733-2535189,,J08313733-2535189,127.90541666666667,-25.58861111111111,54.05,5.62,M8,,,,,,14.71,14,13.58,,,,,,,,,,2012.0,UNCON,
ASR 109,,J03285492+3115290,52.22875,31.258055555555554,300.0,20,M8,,,,21.04,,15.99,14.97,,14.22,,,,2725,,,,,2012.0,UNCON,
ASR 38,,J03285524+3117354,52.23,31.293055555555558,300.0,20,M8,,,,19.39,,15.09,14.21,,13.43,,,,2900,,,,,2012.0,UNCON,
L Ori156,,,83.65125,9.925555555555555,400.0,,M8,,,22.05,,19.59,,,,,,,,2950,2.04,32.0,,,,,
S Ori J053710.0-024302,,,84.29208333333334,-2.7169444444444446,360.0,65,M8,,,,,19.96,17.02,16.42,15.92,,15.6,15.37,12.02,,,19.0,,,,,
L Ori155,,J05362504+1001544,84.10458333333334,10.031666666666668,400.0,,M8,,,21.87,,19.36,16.59,,,,,,,2800,2.61,39.0,,,,,
Wolf 1055 B,x,J19165526+0510086,289.23041666666666,5.1688888888888895,5.87,0.03,M8,,,,,,,,,,,,,,,,400.0,,,,
DENIS-P J022128.5-683140,,J02212859-6831400,35.369166666666665,-68.52777777777777,39.37,5.58,M8,,,,,16.96,13.89,13.28,,12.81,,,,,,,,,,,
2MASS J08440896-3914303,,J08440896-3914303,131.0375,-39.24166666666667,65.82,54.26,M8,,,,,20.05,15.24,14.45,13.96,,,,,,,,,,2012.0,UNCON,
2MASS J08511280-4916072,,J08511280-4916072,132.80333333333334,-49.26861111111111,54.17,7.18,M8,,,20.93,,18.82,14.8,14.09,13.67,,,,,,,,,,2012.0,UNCON,
2MASS J10332358-5621142,,J10332358-5621142,158.34833333333333,-56.35388888888889,95.14,22.21,M8,,,21.19,,19.35,15.95,14.8,14.04,,,,,,,,,,2012.0,UNCON,
2MASS J12353485-5353473,,J12353485-5353473,188.89541666666668,-53.896388888888886,51.81,12.9,M8,,,20.11,,17.83,14.73,14.04,13.52,,,,,,,,,,2012.0,UNCON,
ASR 24,,J03291130+3117175,52.29708333333333,31.288333333333334,300.0,20,M8,,,,,,13.98,13.45,,12.92,,,,,,,,,2012.0,UNCON,
2MASS J16002514-3844387,,J16002514-3844387,240.10458333333332,-38.744166666666665,48.76,12.19,M8,,,20.14,,17.69,14.6,13.96,13.47,,,,,,,,,,2012.0,UNCON,
SONYC-Lup3-28,,,242.1375,-38.87305555555555,200.0,,M8,,,,,15.34,12.98,,,11.74,,,,2800,,58.0,,,2015.0,,
2MASS J16085953-3856275,,J16085953-3856275,242.24791666666667,-38.941111111111105,200.0,,M8,,,,,,,,,,,,,2100,,,,,,,
ASR 28,,J03291303+3117383,52.30416666666667,31.29388888888889,300.0,20,M8,,,,,,15.23,14.71,,14.16,,,,2710,,,,,2012.0,UNCON,
2MASS J08593060-6605084,,J08593060-6605084,134.8775,-66.08555555555554,72.37,16.47,M8,,,,,18.41,15.37,14.67,14.1,,,,,,,,,,2012.0,UNCON,
DENIS-P J1232178-685600,,,188.07416666666666,-68.93333333333334,,,M8,,,,,,,,,,,,,,,,,,,,
ASR 64,,,52.23791666666666,31.32,300.0,20,M8,,,,21.16,,17.24,15.97,,15.34,,,,2975,,,,,2012.0,UNCON,
2MASS J08561384-1342242,,J08561384-1342242,134.0575,-13.706666666666665,,,M8,,,,,,13.6,,,,,,,2300,1.86,14.0,,,,,
2MASS J06431685-1843375,,J06431685-1843375,100.82041666666667,-18.72722222222222,23.5,1.95,M8,,,18.72,,16.08,13.01,12.29,11.8,,,,,,,,,,2012.0,UNCON,
Teide 1,,,56.82458333333334,24.375555555555557,136.2,1.2,M8,,,,,19.26,16.22,15.59,,15.1,,,,2600,,55.0,,,1995.0,,
2MASS J07252641-1025122,,J07252641-1025122,111.36,-10.42,63.27,16.2,M8,,,,,,15.18,14.52,14.06,,,,,,,,,,2012.0,UNCON,
2MASS J04322329+2403013,,J04322329+2403013,68.09708333333333,24.05027777777778,140.0,,M8,,,17.9,,,12.34,11.69,11.33,,,,,,,,,,,,
DENIS-P J065248.5-574137 A,x,J06524851-5741376,103.20208333333333,-57.693888888888885,31.95,3.27,M8,,,,,16.57,14.22,13.57,,13.05,,,,,,40.0,,,2008.0,,
2MASS J04221332+1934392,x,J04221332+1934392,65.55541666666667,19.5775,142.5,,M8,,,,,,,,,,,,,2200,,,,,,,
2MASS J04311907+2335047,,J04311907+2335047,67.82958333333333,23.584722222222222,140.0,,M8,,,20.3,,17.5,13.51,12.72,12.2,,,,,,,,,,,,
2MASS J06525508-1614191,,J06525508-1614191,103.22958333333334,-16.238611111111112,48.52,5.21,M8,,,20.38,,18.15,14.5,13.78,13.1,,,,,,,,,,2012.0,UNCON,
CFHT-Tau 17 B,x,J04400174+2556292,70.00708333333333,25.941388888888888,142.0,3,M8,,,,,,13.22,11.64,,10.76,,,,,,63.0,82.0,2630.0,,,
LP 655-23 B,x,J04305157-0849007,67.715,-8.816944444444443,23.0,2,M8,,,18.8,,15.79,12.9,12.2,,11.78,,,,,,,450.0,,2003.0,,
